title,artist,uri
These Eyes,The Guess Who,spotify:track:5lEyMg4GNKnMbaarvT4sRd
Morning Girl,The Neon Philharmonic,spotify:track:1EnkH8PmTfh9h0vDmORTVx
Gitarzan,Ray Stevens,spotify:track:39ua7Hz20xotv0tAxP1XCc
When You Dance,Jay & The Americans,spotify:track:2alNlDEU9kckE1U8QTTjtA
A Million To One,Brian Hyland,spotify:track:7dfByEFRiKR0tZFTZeSwrd
California Girl (And The Tennessee Square),Tompall & The Glaser Brothers,
Rhythm Of The Rain,Gary Lewis And The Playboys,spotify:track:4uZ1oRbgdkDmJ9o82Pa5hm
Idaho,The 4 Seasons,spotify:track:2zKMyzqdfJMry4zTryROlh
The Boxer,Simon & Garfunkel,spotify:track:76TZCvJ8GitQ2FA1q5dKu0
Love (Can Make You Happy),Mercy,spotify:track:3QlbkPn5lH344eYf7S2rJT
Happy Heart,Andy Williams,spotify:track:5dcxuUQZI7nPldcNkxAR9v
Buying A Book,Joe Tex,spotify:track:0rW5dAScx9lgEFu4W3af7T
Stand!,Sly & The Family Stone,spotify:track:68DqLs1hv7zI08EBvu53wV
Seattle,Perry Como,spotify:track:2QE7qseQn51okNLz0lSfMW
Happy Heart,Petula Clark,spotify:track:7mx1vbLl9x8bGsItrMrMIe
The River Is Wide,The Grass Roots,spotify:track:01PDegLKUry2if9VEn9TTH
Breakfast In Bed,Dusty Springfield,spotify:track:5bsVqbCNaiHlGZRAlP0aK5
Any Day Now,Percy Sledge,spotify:track:30CcCcghwpe24NuVmL2Mhq
Cissy Strut,The Meters,spotify:track:0WSlOSMLJWoWUpWci9nnRb
It's A Groovy World!,The Unifics,
I Can't Do Enough,The Dells,spotify:track:3YNaszqT4FEKafFrSMSD7z
Singing My Song,Tammy Wynette,spotify:track:6B5abUb06hRYPo03Yju71z
The Composer,Diana Ross & The Supremes,spotify:track:4xEEP1THetfxTK1sv8QoIs
I Can't See Myself Leaving You,Aretha Franklin,spotify:track:0MsJNBcfNoIcf868I2MOHo
Earth Angel (Will You Be Mine),The Vogues,spotify:track:5EdZJWk1izvR9FAFwsuIbi
Goodbye,Mary Hopkin,spotify:track:1Yxqqz6fjs0bXc9vvvhHsO
(We've Got) Honey Love,Martha Reeves & The Vandellas,spotify:track:2Gj1vc5Z4cX673brTMDe8W
I've Been Hurt,Bill Deal & The Rhondels,spotify:track:1AxHurtyN2BYSRv4ooGAF3
Sorry Suzanne,The Hollies,spotify:track:1Lz4jdRF4Li6cLRjkmAAdE
I'm A Drifter,Bobby Goldsboro,spotify:track:6ZV7yNSeM0CprSESfVvIRv
July You're A Woman,Pat Boone,
Too Busy Thinking About My Baby,Marvin Gaye,spotify:track:0EQCaQzKJVCXkwSiQZUVHP
Oh Happy Day,The Edwin Hawkins' Singers Featuring Dorothy Combs Morrison,spotify:track:34yIb7hw5SuR80au1BHTtt
Day Is Done,"Peter, Paul & Mary",spotify:track:0Qgn91ZestsloqP5er8LcD
Heather Honey,Tommy Roe,spotify:track:2L4jGkJPjDwZXuH1riZXvn
Love Is Just A Four-Letter Word,Joan Baez,spotify:track:7KT5aM09w7MEuJ7PgKTzUT
"Mr. Walker, It's All Over",Billie Jo Spears,spotify:track:0ps392UqjroU35BNX4l3HL
I Shall Be Released,The Box Tops,spotify:track:2KbvldtpfvwCWq9WLHo3sN
From Both Sides Now,Dion,spotify:track:7d4d77rUX0wQIkkZ9Hr6xj
Greensleeves,Mason Williams,spotify:track:4yR25IogNxZ2YJXhbfX6ST
Seven Years,The Impressions,spotify:track:4CizK36Hxq8tYxi5qYypfN
I Can't Say No To You,Betty Everett,spotify:track:78TdinDawX2yhF22cOSLkS
I've Been Loving You Too Long,Ike & Tina Turner,spotify:track:1f3W17GwtIwDr6dpfOf9J7
Home To You,Earth Opera,
Never Gonna Let Him Know,Debbie Taylor,spotify:track:2woOKDGdPEh9XOKxjcPoBv
Where's The Playground Susie,Glen Campbell,spotify:track:7ajiEBodFIeV5Ua9qVONnB
Everyday With You Girl,Classics IV Featuring Dennis Yost,spotify:track:5MGGKu2rrCSamCjETjeFkC
Proud Mary,Solomon Burke,spotify:track:1DoB9qQAEHwV9s5BWofgUm
Lodi,Creedence Clearwater Revival,spotify:track:1Ay5MiilZj2ZGQLeTWVJ6o
In The Ghetto,Elvis Presley,spotify:track:7KWoeBqSdZHEloYKVxssfG
Bad Moon Rising,Creedence Clearwater Revival,spotify:track:20OFwXhEXf12DzwXmaV7fj
Medicine Man (Part I),Buchanan Brothers,
One,Three Dog Night,spotify:track:4KkGTqja19AHqItq3XBV3C
Pretty World,Sergio Mendes & Brasil '66,spotify:track:0DEMZrWjiUNSpV75Msap7M
With Pen In Hand,Vikki Carr,spotify:track:1R1z2tryTXZApOWozqOM6j
Marley Purt Drive,Jose Feliciano,spotify:track:3sfChuqCslJt6FgzvYNGRM
I Could Never Lie To You,The New Colony Six,
The Windmills Of Your Mind,Dusty Springfield,spotify:track:6MUHAvKGAmKXojn8wdFB71
I Want To Love You Baby,Peggy Scott & Jo Jo Benson,spotify:track:70GHL5MXvpORIuv20GXBRA
Get Back,The Beatles With Billy Preston,spotify:track:4MLBqAEzNN89o2M9h92Z26
Don't Let Me Down,The Beatles With Billy Preston,spotify:track:3evG0BIqEFMMP7lVJh1cSf
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,spotify:track:0oFkaYVT0tVb9v5sOaMvJv
Testify (I Wonna),Johnnie Taylor,spotify:track:0ZTr7I93DO88V9dVlWgGfo
Black Pearl,"Sonny Charles And The Checkmates, Ltd.",spotify:track:0I1M0ETI5gHAHe2dwrdrlm
It's Never Too Late,Steppenwolf,spotify:track:54RmVI3i4V9WlMsvciMB4s
Gentle On My Mind,Aretha Franklin,spotify:track:6hIdxA1AVsqCqyGrjK1iie
Someday Man,The Monkees,spotify:track:5JDbqSNMXTRQgf2oCyPHWJ
"Friend, Lover, Woman, Wife",O.C. Smith,spotify:track:4YOB5119MPTEiiDEsRPamo
Special Delivery,1910 Fruitgum Co.,spotify:track:2eq1ZLy9Q1aaB8AjHAMb2m
Truck Stop,Jerry Smith and his Pianos,
Sunday,The Moments,spotify:track:061YcmAKl6tatyzkCCMYhG
Welcome Me Love,The Brooklyn Bridge Featuring Johnny Maestro,spotify:track:2bi73MrKss7bxcbMzFiDFx
What Is A Man,Four Tops,spotify:track:0vvrl5WVLIS02b55kcJutR
Turn Around And Love You,Rita Coolidge,
Ivory,Bob Seger System,spotify:track:0csOpNlENN5Ny0iivEFJkk
Just A Little Bit,Little Milton,spotify:track:1UmFLYYTIucgZJoxIcoL9i
I'm Gonna Do All I Can (To Do Right By My Man),Ike & Tina Turner,spotify:track:0JJwbDbM3J2hSPAmZsof57
Born To Be Wild,Wilson Pickett,spotify:track:2U3J6weDBx3HdjQo7BbI47
The April Fools,Dionne Warwick,spotify:track:767SZ6IM7yXRmiu3NruknZ
Let Me,Paul Revere & The Raiders Featuring Mark Lindsay,spotify:track:5n2nKBJ0SuEgf1aWDEH4tn
We Got More Soul,Dyke And The Blazers,spotify:track:5FrCb3dn8zBDQidICpI4Q5
You Don't Need Me For Anything Anymore,Brenda Lee,
"My Wife, My Dog, My Cat",The Maskman & The Agents,
What Does It Take (To Win Your Love),Jr. Walker & The All Stars,spotify:track:0RiZIzLmDd7a8pUzcOJOeY
Why I Sing The Blues,B.B. King,spotify:track:2bIfM0ZOF4gxK1BeqH3Djm
Let Me Love You,Ray Charles,spotify:track:6DYkieaHPRVToBvoggzqov
Israelites,Desmond Dekker And The Aces,spotify:track:5U1GMgbXXM5eLvKUDnvqNS
I Threw It All Away,Bob Dylan,spotify:track:2HXnjMxrO4QccqE3Grwmd0
Sausalito,Al Martino,
Don't Let The Joneses Get You Down,The Temptations,spotify:track:1megsUXcXPoCWKxIjyc3y0
See,The Rascals,spotify:track:7BGuuzMvamvGsmTL0Cvx7i
So I Can Love You,The Emotions,spotify:track:0pKhawRu6D5RYTaINzrozu
Love Man,Otis Redding,spotify:track:16dz1n3ctolQbuZPtvHVqH
Love Me Tonight,Tom Jones,spotify:track:5dClbtFrsEtU363gpPwX2I
Color Him Father,The Winstons,spotify:track:4qlk1U68B90hEi37NvCJRK
I Can Sing A Rainbow/Love Is Blue,The Dells,spotify:track:3ZIzonNJdYQDGXqVFYn3pg
Good Morning Starshine,Oliver,spotify:track:5iLGCyYlTfs6DmIlpSoCA2
Good Morning Starshine,Strawberry Alarm Clock,spotify:track:26D5mLklBxduCJmGZ210Rf
I Want To Take You Higher,Sly & The Family Stone,spotify:track:4qpIk2rvkmxJEVvt38tepd
Let's Dance,Ola & The Janglers,spotify:track:6abzPFNkbIcWv3QZonV4IB
"Baby, I Love You",Andy Kim,spotify:track:3z2ZSQZXaWAufdyv3xnuLe
Too Experienced,Eddie Lovette,spotify:track:5fDM8NlEJkwn8TScgmunEa
Here We Go Again,Nancy Sinatra,spotify:track:18ytBAGsV3KoubYAEGgKGt
Memphis Underground,Herbie Mann,spotify:track:0lJ3iwfMWh8xDXWuGhbMv7
Tomorrow Tomorrow,Bee Gees,spotify:track:2fFUtEAjAQ9TIWTx6wbTp6
No Matter What Sign You Are,Diana Ross & The Supremes,spotify:track:3PE71qjX8VsILGSonx6rQQ
I Turned You On,The Isley Brothers,spotify:track:7vMGfPlgbM41ssMPFSqA6y
My Cherie Amour,Stevie Wonder,spotify:track:5ZoDwIP1ntHwciLjydJ8X2
Without Her,Herb Alpert,spotify:track:4THlEtZqUMIkZafbaQRzr1
Moody Woman,Jerry Butler,spotify:track:2ZMscHE7KFdza1puWrY9c9
Spinning Wheel,"Blood, Sweat & Tears",spotify:track:0spSRHFS4zF4Imvz9sJcfL
The Minotaur,Dick Hyman & His Electric Eclectics,spotify:track:6eHkSvvSolKfLgqQs4FZuf
I Can't Quit Her,The Arbors,spotify:track:4LbfXBKo1Q2l1F2sEQqjs2
The Popcorn,James Brown,spotify:track:2irlk8IK9WNdxQrqHa9Wll
Sincerely,Paul Anka,spotify:track:0Bp6HuwGiP610hAbLWISal
Hushabye,Jay & The Americans,spotify:track:0lfIVV1uZD5m0c0I2iQymH
Brown Arms In Houston,Orpheus,
I Need You Now,Ronnie Dove,spotify:track:5NbPWH9YVSzzwokRHzSoVn
Running Bear,Sonny James,spotify:track:6wkrULQ7AzurQ0KpXzFDbH
Hurt So Bad,The Lettermen,spotify:track:61LGhmF85x2bWaRd9zSDHW
Son Of A Travelin' Man,Ed Ames,spotify:track:0TXjDDQJ4iwuYHjfwNfKIt
Didn't We,Richard Harris,spotify:track:536gfzVYZkxywv1knXbVSx
My Pledge Of Love,The Joe Jeffrey Group,spotify:track:407c87OyTpimzlbUHhkLRD
You Don't Have To Walk In The Rain,The Turtles,spotify:track:3DjrRr5my3zww9cOI9ofSF
It's Getting Better,Mama Cass,
Crystal Blue Persuasion,Tommy James And The Shondells,spotify:track:6FXwTBdpv4wD0G0Sz3Wxn4
Mrs. Robinson,Booker T. & The MG's,spotify:track:0PNUyy6plH0rASsHyBkUNZ
Listen To The Band,The Monkees,spotify:track:09tyJ0VvbLty84iHIV3WQn
"Ruby, Don't Take Your Love To Town",Kenny Rogers & The First Edition,spotify:track:3MoCJ7TOCMlFdyeBEHt24q
Galveston,Roger Williams,spotify:track:3LB59XQaLEtQfQL0qa7BG1
The Ballad Of John And Yoko,The Beatles,spotify:track:1F7s27lLKshLPt9TPCgMDL
Mother Popcorn (You Got To Have A Mother For Me) Part 1,James Brown,
"Yesterday, When I Was Young",Roy Clark,spotify:track:5p6eFTCu58ZA3AkqCsQEXB
The Girl I'll Never Know (Angels Never Fly This Low),Frankie Valli,spotify:track:0w2Be52VfBfbXlb1STmYAK
Quentin's Theme,The Charles Randolph Grean Sounde,
Dammit Isn't God's Last Name,Frankie Laine,
"Don't Wake Me Up In The Morning, Michael",Peppermint Rainbow,spotify:track:6RzqD964t0xz5yHHdvpEtO
The Days Of Sand And Shovels,Bobby Vinton,spotify:track:3glPdKy9ystj2fKTMCPfA8
It's My Thing (You Can't Tell Me Who To Sock It To),Marva Whitney,spotify:track:1PuyOHjBUULlmPNstHPPoz
Funny Feeling,The Delfonics,spotify:track:56QIqrLhxb9YiJ2q2UAT2O
Moonflight,Vik Venus Alias: Your Main Moon Man,
Gotta Get To Know You,Bobby Bland,spotify:track:0S0QNeHAIWuwh7IEbzbxso
Tell All The People,The Doors,spotify:track:0g1NRq4KmbEYgzaPF7G6CG
In The Year 2525,Zager & Evans,spotify:track:3LdLGNKCW0dNr14JQlZPQt
Doggone Right,Smokey Robinson & The Miracles,spotify:track:7tIMUigvYEkIkGPjQ2o5lg
Moments To Remember,The Vogues,spotify:track:6lqB974fYAOAx6JhAZjqlJ
The Prophecy Of Daniel and John The Divine (Six-Six-Six),The Cowsills,
I'd Rather Be An Old Man's Sweetheart (Than A Young Man's Fool),Candi Staton,spotify:track:10h8NHPZTpNJl4yHpJtVyy
The Feeling Is Right,Clarence Carter,spotify:track:3n9BRFhSDiSZz5aIOvrUMA
Girl You're Too Young,Archie Bell & The Drells,spotify:track:7v7iraFbfC12qCZEJFmHAg
"Baby, Don't Be Looking In My Mind",Joe Simon,spotify:track:4X8yPSO0mgVVoFOhHAUJT2
And She's Mine,Spanky And Our Gang,spotify:track:11m8siTwlVHrlD3Za5ZfHk
"Pinch Me (Baby, Convince Me)",Ohio Express,
Feeling Alright,Joe Cocker,
Sweet Caroline (Good Times Never Seemed So Good),Neil Diamond,
Good Old Rock 'N Roll,Cat Mother & the All Night News Boys,spotify:track:2jfj17B5I1eXuzOoyaFnt6
Reconsider Me,Johnny Adams,spotify:track:6VB5qvDSykpoc8vON065d8
Choice Of Colors,The Impressions,spotify:track:28tgHkgZoBWHsmbzmI41Yt
I'm Still A Struggling Man,Edwin Starr,spotify:track:1kgtLKvVAxeci5kU0u5ov7
Put A Little Love In Your Heart,Jackie DeShannon,spotify:track:7MUO4NG8cNjTEQlANYwmoU
Forever,Mercy,spotify:track:7jlewR0QTUayfj1rgAhL9s
On Campus,Dickie Goodman,spotify:track:4QxSoF0tOKtRxhvonIBxt5
"Abraham, Martin And John",Moms Mabley,
While You're Out Looking For Sugar?,The Honey Cone,spotify:track:1mcJ6jMuD99Q0hS3gb9DmU
Never Comes The Day,The Moody Blues,spotify:track:3jTVFIyNFqQmgniYhKfFqW
Along Came Jones,Ray Stevens,spotify:track:4O09FUf5LMgokPfWgnvRaD
Don't Tell Your Mama (Where You've Been),Eddie Floyd,spotify:track:0C24UTMQt8i9nJiXdxeJAv
Everything I Do Gonh Be Funky (From Now On),Lee Dorsey,
Muddy River,Johnny Rivers,spotify:track:6IFQt1eYQvFAfHjvcA6T5c
(Sittin' On) The Dock Of The Bay,Sergio Mendes & Brasil '66,spotify:track:0HJ545UgMU7ttqYHFvb6pn
"Theme From ""A Summer Place""",The Ventures,
"Abraham, Martin And John",Smokey Robinson & The Miracles,spotify:track:7x5vC0sqmXpmTrgnuDMXmc
I'd Wait A Million Years,The Grass Roots,spotify:track:760hwLaTFEONDusgIS4FhW
Polk Salad Annie,Tony Joe White,spotify:track:0jtz7Ia3HahOqXWnKad0rn
Clean Up Your Own Back Yard,Elvis Presley,
Did You See Her Eyes,The Illusion,spotify:track:4teccnmuavEz36v8e41HHV
Break Away,The Beach Boys,spotify:track:1wEHSOXRBj1wa5O7WXU3B8
Soul Deep,The Box Tops,spotify:track:4yPl1mK1oluIrCwI4HInPR
I'll Never Fall In Love Again,Burt Bacharach,spotify:track:5aYR2yKYdcWxX7gAO2CYps
Nothing Can Take The Place Of You,Brook Benton,spotify:track:3daw0o8J2gWbNpat6Sud6r
My Little Chickadee,The Foundations,spotify:track:7EeOyf5ROnGWydJqQZ8E3j
Hey Joe,Wilson Pickett,spotify:track:6FixOciblTbUmV9pLiYw1s
Laughing,The Guess Who,spotify:track:3LMXAUFA6PWe0iHyHfMKRL
Where Do I Go/Be-In/Hare Krishna,The Happenings,
Stay And Love Me All Summer,Brian Hyland,spotify:track:77p7NnUP03nHPUe2qn3FiE
Willie & Laura Mae Jones,Dusty Springfield,spotify:track:4AE3dRLSuWT4t1cWy5RkHc
Wake Up,The Chambers Brothers,spotify:track:4dTU2FPYgADbJlOQXOyy7e
Lay Lady Lay,Bob Dylan,spotify:track:4uYwlMp841PLJmj1gJJwIq
Birds Of A Feather,Joe South,spotify:track:1RaBOJucDb7QCObIj2JEKO
In The Time Of Our Lives,Iron Butterfly,spotify:track:7IeVNYGilvoqUniMCn7U4G
Pass The Apple Eve,B.J. Thomas,spotify:track:5pG9iIFw3W9RqbLHgvitT3
Abergavenny,Shannon,
Workin' On A Groovy Thing,The 5th Dimension,spotify:track:1h7UT8AeLNwkJWVOF5lLM8
I've Lost Everything I've Ever Loved,David Ruffin,spotify:track:28UrAmoEF3BLUELuIBDAjO
Honky Tonk Women,The Rolling Stones,spotify:track:3fnPv1LRMxENr63afVhaz1
Marrakesh Express,"Crosby, Stills & Nash",spotify:track:3bIB8JVXIbCTwJtsweAqeq
Your Good Thing (Is About To End),Lou Rawls,spotify:track:79VLN3Akfbtadc8IYuygQd
The Nitty Gritty,Gladys Knight And The Pips,spotify:track:1aMprzGYfTyP5DN4jM5NBZ
I'm Free,The Who,spotify:track:7tbp39GZvDA0cItgHynVnG
Till You Get Enough,The Watts 103rd Street Rhythm Band,spotify:track:7FT0LCs1xQfx6E05e62MZ9
That's The Way,Joe Tex,spotify:track:60N1VHlOm2nR24bN1DVGU2
Your Husband - My Wife,Brooklyn Bridge,spotify:track:67z7rQtM64W9r7LqTg7amW
Jack And Jill,Tommy Roe,spotify:track:6zXrni8kurxfJvQYI8NXJL
Birthday,Underground Sunshine,
A Boy Named Sue,Johnny Cash,spotify:track:5aoCdtDbTW93E00wik2JmW
True Grit,Glen Campbell,spotify:track:5jQky3fADov04ITwQaCS3J
Give Peace A Chance,Plastic Ono Band,
Odds And Ends,Dionne Warwick,spotify:track:66g7RleXwZuFUlec54oXnG
"Sugar, Sugar",The Archies,spotify:track:3iSws76HjaU7k49EqJVTfF
Everybody Knows Matilda,Duke Baxter,
First Hymn From Grand Terrace,Mark Lindsay,spotify:track:6WdRtYX5QMaP503hgnFUEN
Let Yourself Go,The Friends Of Distinction,spotify:track:354oJ0prNvlmvopjdUI1mE
"Love Theme From ""Romeo And Juliet"" (A Time For Us)",Johnny Mathis,
Ease Back,The Meters,spotify:track:6yA5SVX720UO6G99jPUoyh
"Out Of Sight, Out Of Mind",Little Anthony And The Imperials,spotify:track:0F6fa3I40SkP6oZYeFsXPA
Big Bruce,Steve Greenberg,
Share Your Love With Me,Aretha Franklin,spotify:track:2wBf6PGWOMrrAykBmxIF9X
Green River,Creedence Clearwater Revival,spotify:track:11DjZQEZ69EXLo77HVj6yW
Commotion,Creedence Clearwater Revival,spotify:track:01PnRJeFSeOgIpBuv1kQKd
Nobody But You Babe,Clarence Reid,spotify:track:0LTqGc7UqoOEfyrBrffixC
Simple Song Of Freedom,Tim Hardin,spotify:track:6qsngfhruE792s577j5VwN
Change Of Heart,Dennis Yost And The Classics IV,
That's The Way God Planned It,Billy Preston,spotify:track:4Hk7Tpn0EyaFEXo45o4C0n
Goo Goo Barabajagal (Love Is Hot),Donovan/Jeff Beck Group,
Dynamite Woman,Sir Douglas Quintet,spotify:track:1VuMGJu31pqmbqfoXOuE8i
The Young Folks,Diana Ross & The Supremes,spotify:track:1J9L1lhlcjL1W4G3cnXjLZ
In My Room,Sagittarius,spotify:track:6watPEUs0C1gLSnFHKGWlz
By The Time I Get To Phoenix,The Mad Lads,spotify:track:24ii20TY56BcHgep8j278F
Keem-O-Sabe,The Electric Indian,spotify:track:29P1hXAG4VZ21lSH4hUI5I
Let's Call It A Day Girl,Bobby Vee,
The Hunter,Ike & Tina Turner,spotify:track:5yM1XZ2kk5A6Eh5u7kMLMk
Hook And Sling-Part I,Eddie Bo,
You Made A Believer (Out Of Me),Ruby Andrews,spotify:track:4osZZATIyErv2ema2MjP7l
Let Me Be The Man My Daddy Was,The Chi-lites,spotify:track:5MDed9QBgtIhK7BBLj2ObT
In A Moment,The Intrigues,spotify:track:029711BlHKszqkSd9GaNI6
Easy To Be Hard,Three Dog Night,spotify:track:2XZEAYYRMBvkY7c2Z8YGox
Hot Fun In The Summertime,Sly & The Family Stone,spotify:track:4t6NQkpUmvpvLDCkl3XuwA
When I Die,Motherlode,spotify:track:2h7A00Xc3UHDyGSLpKnBxa
I Could Never Be President,Johnnie Taylor,spotify:track:1UUntqWL8aZ42vFqivpvtQ
One Night Affair,The O'Jays,spotify:track:50KfjOUY5oRlFpWRzhtIKY
I Take A Lot Of Pride In What I Am,Dean Martin,spotify:track:1NAUXbQoeuFpzTs1tSurBG
Look At Mine,Petula Clark,spotify:track:0F0TrgbGdGjdlfrFs58Ujb
Chelsea Morning,Judy Collins,spotify:track:1jtlZTao7YhYXPVFNWcDpt
Farewell Love Scene,Romeo & Juliet Soundtrack,
Questions 67 And 68,Chicago,spotify:track:3YxBBvWnhl3CHHLpVAu5vO
Who Do You Love,Quicksilver Messenger Service,spotify:track:14hykKy6TC9y6chiptCtje
"Oh, What A Night",The Dells,spotify:track:2ht21Rlf8L6cPLBkYmhpcs
Jean,Oliver,spotify:track:2cjoDBTUi9FO103xhAU6Tk
I Do,The Moments,spotify:track:2hiGll5InxwWuDfAv78isv
Move Over,Steppenwolf,spotify:track:6RbvfVblYgW4cL53sWAhE7
Everybody's Talkin',Nilsson,spotify:track:1jcPcDu2YawPfLhwjYnqK2
I Can't Get Next To You,The Temptations,spotify:track:6aL6pPBaTMGgM558mplSnj
Let Me Be The One,Peaches & Herb,
The Colour Of My Love,Jefferson,spotify:track:6nGXKXAFfky9D6Xu57HnMB
What Kind Of Fool Do You Think I Am,Bill Deal & The Rhondels,spotify:track:6LQHfGK9wkx2kWxAPDbPil
Maybe The Rain Will Fall,The Cascades,
Muddy Mississippi Line,Bobby Goldsboro,spotify:track:0HJd5HwtTzuT5SZQBFzQdA
Going In Circles,The Friends Of Distinction,spotify:track:5gUk26spbkbYgXmDTMbW3C
You Got Yours And I'll Get Mine,The Delfonics,spotify:track:1kv28lKIdRA2aydk5ZYtW2
Oh How Happy,Blinky & Edwin Starr,spotify:track:0qbbN47ASmolLFqDrefKnx
Any Way That You Want Me,Evie Sands,spotify:track:0Hn2czXxRzvTHPshSNpXgT
I'm A Better Man,Engelbert Humperdinck,spotify:track:4FAywsbEO4l37Q2ckZBszQ
I'm Gonna Make You Mine,Lou Christie,spotify:track:4CjLp84JmIqzInzYxYZoAS
This Girl Is A Woman Now,Gary Puckett And The Union Gap,spotify:track:2tr5FpklBfRPajrgS8rmHY
Little Woman,Bobby Sherman,spotify:track:7eCHZeIm2SxGEJkGEggstN
Lowdown Popcorn,James Brown,spotify:track:4ZuODMZPjTLAExyuRSmAs6
That's The Way Love Is,Marvin Gaye,spotify:track:51ePCpO1xUeHYhvgT67YPX
Rain,Jose Feliciano,spotify:track:2ym3AgGBfFOHFuUMy5AU7C
"You, I",The Rugbys,spotify:track:0POr3VPOV0nCahmv1TMx1D
The Train,1910 Fruitgum Co.,spotify:track:23UufB6W2aRUe3CdUHFSwX
Lodi,Al Wilson,
Don't It Make You Want To Go Home,Joe South and The Believers,
Here I Go Again,Smokey Robinson & The Miracles,spotify:track:4CkVs6jrJc67kaU6qj73J9
Can't Find The Time,Orpheus,
Walk On By,Isaac Hayes,spotify:track:1jwKdqb7OindD204ocIryP
Green Fields,The Vogues,
All I Have To Offer You (Is Me),Charley Pride,spotify:track:1AoE6Ystx6PhWJjtR8kAyi
Memphis Train,Buddy Miles Express,
What's The Use Of Breaking Up,Jerry Butler,spotify:track:16dpDyEZIlDOKVsCXlfC1S
Sugar On Sunday,The Clique,spotify:track:2mB7RE3hJubHlEJag8K9pj
Daddy's Little Man,O.C. Smith,spotify:track:1RjVxySCH89I2unOcJvHMT
By The Time I Get To Phoenix,Isaac Hayes,spotify:track:1S73njkLJ5orszfbNeqDQs
No One For Me To Turn To,Spiral Starecase,spotify:track:6MSTUcmtS8S0B4GAWyJzzT
I Want You To Know,The New Colony Six,
Sad Girl,The Intruders,spotify:track:1eAZTu3kRk98Exu0n92YMC
The Ways To Love A Man,Tammy Wynette,spotify:track:3ZTm0iBrQ8Y35IVBbwxcv2
Black Berries - Pt 1,The Isley Brothers,spotify:track:5olP9v3xgBpvJlhWU9DoxX
Get Off My Back Woman,B.B. King,spotify:track:4jbJsvzAgDQ6KwGjdVII13
Carry Me Back,The Rascals,spotify:track:5HOA2Vu2Su13uijEv7krb0
Armstrong,John Stewart,spotify:track:1LLCVdrvdQUdymGzbwwllb
We Gotta All Get Together,Paul Revere & The Raiders Featuring Mark Lindsay,spotify:track:7wrSXabeZJmQXk8BwJhkOH
Máh-Ná-Mah-Ná,Piero Umiliani,spotify:track:6lSONjFuXlDZ5AHcN7d4fM
Something In The Air,Thunderclap Newman,spotify:track:0emd9tHSVP4dK6UG4pcOFD
Sausalito (Is The Place To Go),Ohio Express,spotify:track:5lCPJWsjGhgCRVzrYsDuow
Runnin' Blue,The Doors,spotify:track:0y2Vz9T2PImD6YUdMq9Ebl
Make Believe,Wind,spotify:track:7GYUDhLNm2DoG94NsaMd6J
Moonlight Sonata,Henry Mancini And His Orchestra,spotify:track:0NfOkSbLeCOGvWOBuLwQEN
MacArthur Park,Waylon Jennings & The Kimberlys,spotify:track:09c6fmAd8uvxROSmFHCkx9
Baby It's You,Smith,spotify:track:2KSwmLHkgjZCE49YFkgspo
Luna Trip,Dickie Goodman,spotify:track:0rXvvATCO27bTyYn8iWhZY
Slum Baby,Booker T. & The MG's,spotify:track:4Lr9Wx7KwuTUW0ZT80QNEI
Life And Death In G & A,Abaco Dream,
The Weight,Supremes & Temptations,
World (Part 1),James Brown,spotify:track:1GyIQ4k2NvIZ76k0ogpLKr
And That Reminds Me (My Heart Reminds Me),The 4 Seasons,spotify:track:0loo1QzCmSXerjeZBUVLPG
Suspicious Minds,Elvis Presley,spotify:track:1H5IfYyIIAlgDX8zguUzns
Jealous Kind Of Fella,Garland Green,spotify:track:1dtKN6wwlolkM8XZy2y9C1
Chains Of Love,Bobby Bland,spotify:track:3ab48EWVWFiCCI9glmD3pe
Tracy,The Cuff Links,spotify:track:0NnpGlsfv7Jghg7fKfOF9c
My Balloon's Going Up,Archie Bell & The Drells,spotify:track:2XYSkO6GWk1ZpINrFBsLWc
Love's Been Good To Me,Frank Sinatra,spotify:track:20dyFIpzzc649Aku3PfXwO
Kool And The Gang,Kool & The Gang,
Love Of The Common People,The Winstons,spotify:track:2yeExv5t15T8quco592dED
Son Of A Lovin' Man,Buchanan Brothers,spotify:track:70MqJOpUHPB10OzrI06x7U
Let A Woman Be A Woman - Let A Man Be A Man,Dyke And The Blazers,spotify:track:17Y2K7uNxMkaTDBtf1Tcv3
You've Lost That Lovin' Feeling,Dionne Warwick,
Don't Forget To Remember,Bee Gees,spotify:track:45oIGEnIM1t8uzuZgxW6ZD
Jesus Is A Soul Man,Lawrence Reynolds,spotify:track:2aJ0ZdaL40vOB9dlZ7ZhzL
"Since I Met You, Baby",Sonny James,spotify:track:0DMq2fTSzlmnqeeiU36Z66
Drummer Man,Nancy Sinatra,spotify:track:0hBpAXaXrE3G0eSqHK7OIV
Good Clean Fun,The Monkees,spotify:track:1t4I9xuq9Mgdq4SR5hV8p5
Wedding Bell Blues,The 5th Dimension,spotify:track:1NmEZ3MPCktnLtrqusUrzt
Is That All There Is,Peggy Lee,spotify:track:1JnZJgkTnF4hqj586v12Aa
Doin' Our Thing,Clarence Carter,spotify:track:22t9iuxxXPGYuRZ0R0Mgej
So Good Together,Andy Kim,spotify:track:7ntvk3Wh8i14tnMyAkRpfk
