title,artist,debut
Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,1990-11-17
Anything Is Possible,Debbie Gibson,1990-11-17
Does She Love That Man?,Breathe Featuring David Glasper,1990-11-17
You're Amazing,Robert Palmer,1990-11-17
Love Will Never Do (Without You),Janet Jackson,1990-11-17
I'm Free,The Soup Dragons,1990-11-17
The Ghetto,Too $hort,1990-11-17
Rockin' Over The Beat,Technotronic,1990-11-17
World In My Eyes,Depeche Mode,1990-11-24
The Shoop Shoop Song (It's In His Kiss),Cher,1990-11-24
You Gotta Love Someone,Elton John,1990-11-24
Disappear,INXS,1990-11-24
Candy,Iggy Pop With Kate Pierson,1990-11-24
I'll Give All My Love To You,Keith Sweat,1990-12-01
House Full Of Reasons,Jude Cole,1990-12-01
Around The Way Girl,LL Cool J,1990-12-01
I Saw Red,Warrant,1990-12-01
No Matter What,George LaMond (Duet With Brenda K. Starr),1990-12-01
Love Makes Things Happen,Pebbles,1990-12-01
Crash (Have Some Fun),TKA Featuring Michelle Visage,1990-12-01
Wicked Game,Chris Isaak,1990-12-01
Give It To Me Good,Trixter,1990-12-01
Play That Funky Music,Vanilla Ice,1990-12-08
Moneytalks,AC/DC,1990-12-08
Round And Round,Tevin Campbell,1990-12-08
Where Does My Heart Beat Now,Celine Dion,1990-12-08
Just A Little Bit Longer,Maxi Priest,1990-12-08
I Don't Know Anybody Else,Black Box,1990-12-08
Shelter Me,Cinderella,1990-12-08
Go For It! (Heart And Fire),Joey B. Ellis & Tynetta Hare,1990-12-08
Love Me Just For Me,Special Generation,1990-12-08
Show Me The Way,Styx,1990-12-08
Use It Up And Wear It Out,Pat & Mick,1990-12-15
Get Here,Oleta Adams,1990-12-15
The Swalk,Notorious,1990-12-15
Deeper Shade Of Soul,Urban Dance Squad,1990-12-15
Melt In Your Mouth,Candyman,1990-12-15
The Obvious Child,Paul Simon,1990-12-15
All The Man That I Need,Whitney Houston,1990-12-22
It Never Rains (In Southern California),Tony Toni Tone,1990-12-22
This Is Ponderous,2nu,1990-12-22
This House,Tracie Spencer,1990-12-22
One More Try,Timmy T.,1990-12-22
Spend My Life,Slaughter,1990-12-22
Here Comes The Hammer,M.C. Hammer,1991-01-05
Signs,Tesla,1991-01-05
Remember My Name,House Of Lords,1991-01-05
I've Been Waiting For You,Guys Next Door,1991-01-05
Don't Hold Back Your Love,Daryl Hall John Oates,1991-01-05
Power Of Love,Deee-Lite,1991-01-05
Iesha,Another Bad Creation,1991-01-12
I'll Do 4 U,Father M.C.,1991-01-12
Something In My Heart,Michel'le,1991-01-12
Someday,Mariah Carey,1991-01-19
All This Time,Sting,1991-01-19
Waiting For That Day,George Michael,1991-01-19
Waiting For Love,Alias,1991-01-19
Hold You Tight,Tara Kemp,1991-01-19
When Will I See You Smile Again?,Bell Biv DeVoe,1991-01-19
Jealousy,The Adventures Of Stevie V,1991-01-19
Close To Me,The Cure,1991-01-19
Sure Lookin',Donny Osmond,1991-01-19
Coming Out Of The Dark,Gloria Estefan,1991-01-26
Chasin' The Wind,Chicago,1991-01-26
Night And Day,Bette Midler,1991-01-26
I'll Be By Your Side,Stevie B,1991-02-02
Who Said I Would,Phil Collins,1991-02-02
Mother's Pride,George Michael,1991-02-02
My Side Of The Bed,Susanna Hoffs,1991-02-02
Secret,Heart,1991-02-02
Together Forever,Lisette Melendez,1991-02-02
Ride The Wind,Poison,1991-02-02
Rico Suave,Gerardo,1991-02-02
I've Been Thinking About You,Londonbeat,1991-02-09
You're In Love,Wilson Phillips,1991-02-09
Easy Come Easy Go,Winger,1991-02-09
"Just The Way It Is, Baby",The Rembrandts,1991-02-09
Give It Up,ZZ Top,1991-02-09
What's It Gonna Be,Jellybean Featuring Niki Haris,1991-02-09
Sadeness Part 1,Enigma,1991-02-09
Funk Boutique,The Cover Girls,1991-02-09
Mercy Mercy Me (The Ecology)/I Want You,Robert Palmer,1991-02-16
How To Dance,Bingo Boys Featuring Princessa,1991-02-16
Cry For Help,Rick Astley,1991-02-16
Another Sleepless Night,Shawn Christopher,1991-02-16
Temple Of Love,Harriet,1991-02-16
Still Got The Blues,Gary Moore,1991-02-16
How Can You Expect To Be Taken Seriously?,Pet Shop Boys,1991-02-16
Baby Baby,Amy Grant,1991-02-23
Let's Chill,Guy,1991-02-23
Call It Poison,The Escape Club,1991-02-23
Stone Cold Gentleman,Ralph Tresvant,1991-02-23
All True Man,Alexander O'Neal,1991-02-23
I Like The Way (The Kissing Game),Hi-Five,1991-02-23
I Love You,Vanilla Ice,1991-02-23
Rescue Me,Madonna,1991-03-02
Joyride,Roxette,1991-03-02
Touch Me (All Night Long),Cathy Dennis,1991-03-02
Here We Go,C+C Music Factory/F. Williams,1991-03-02
In Your Arms,Little Caesar,1991-03-02
That's Why,The Party,1991-03-02
Made Up My Mind,SaFire,1991-03-02
The Star Spangled Banner,Whitney Houston,1991-03-09
Give Peace A Chance,The Peace Choir,1991-03-09
Written All Over Your Face,The Rude Boys,1991-03-09
I Touch Myself,Divinyls,1991-03-09
Call It Rock N' Roll,Great White,1991-03-09
More Than Ever,Nelson,1991-03-09
Don't Treat Me Bad,Firehouse,1991-03-09
Highwire,The Rolling Stones,1991-03-09
Oooh This I Need,Elisa Fiorillo,1991-03-09
Baby's Coming Back,Jellyfish,1991-03-09
Rhythm Of My Heart,Rod Stewart,1991-03-16
You Don't Have To Go Home Tonight,The Triplets,1991-03-16
Voices That Care,Voices That Care,1991-03-16
I'll Never Let You Go,Steelheart,1991-03-16
It's A Shame (My Sister),Monie Love Featuring True Image,1991-03-16
"Deep, Deep Trouble",The Simpsons Featuring Bart & Homer,1991-03-16
Save Some Love,Keedy,1991-03-16
She Talks To Angels,The Black Crowes,1991-03-16
Step On,Happy Mondays,1991-03-16
One In A Million,Trixter,1991-03-16
Heartbreak Station,Cinderella,1991-03-16
Silent Lucidity,Queensryche,1991-03-23
More Than Words,Extreme,1991-03-23
Another Like My Lover,Jasmine Guy,1991-03-23
My Heart Is Failing Me,Riff,1991-03-23
Wrap My Body Tight,Johnny Gill,1991-03-23
Do You Want Me,Salt-N-Pepa,1991-03-23
Here I Am (Come And Take Me),UB40,1991-03-23
How Much Is Enough,The Fixx,1991-03-30
Crazy,Daisy Dee,1991-03-30
What Comes Naturally,Sheena Easton,1991-03-30
Love Me Forever Or Love Me Not,Trilogy,1991-03-30
Walking In Memphis,Marc Cohn,1991-03-30
Going Through The Motions,Aftershock,1991-03-30
I Don't Wanna Cry,Mariah Carey,1991-04-06
Losing My Religion,R.E.M.,1991-04-06
Bitter Tears,INXS,1991-04-06
Word Of Mouth,Mike + The Mechanics,1991-04-06
(If There Was) Any Other Way,Celine Dion,1991-04-06
Strike It Up,Black Box,1991-04-06
"I Wanna Sex You Up (From ""New Jack City"")",Color Me Badd,1991-04-06
Love At First Sight,Styx,1991-04-06
People Are Still Having Sex,LaTour,1991-04-06
Miracle,Whitney Houston,1991-04-13
Mama Said Knock You Out,LL Cool J,1991-04-13
Whatever You Want,Tony Toni Tone,1991-04-13
Unbelievable,EMF,1991-04-13
Nightgown,Candyman,1991-04-13
Backyard,Pebbles (With Salt-N-Pepa),1991-04-13
"Right Here, Right Now",Jesus Jones,1991-04-13
Feel The Groove,Cartouche,1991-04-13
How Can I Ease The Pain,Lisa Fischer,1991-04-13
Love Is A Wonderful Thing,Michael Bolton,1991-04-20
Seal Our Fate,Gloria Estefan,1991-04-20
Come Again,Damn Yankees,1991-04-20
Uncle Tom's Cabin,Warrant,1991-04-20
Dream Lover,The Rebel Pebbles,1991-04-20
Couple Days Off,Huey Lewis & The News,1991-04-27
Power Of Love/Love Power,Luther Vandross,1991-04-27
Playground,Another Bad Creation,1991-04-27
"New Jack Hustler (Nino's Theme) (From ""New Jack City"")",Ice-T,1991-04-27
Never Gonna Let You Down,Surface,1991-04-27
I Don't Want To Lose Your Love,B Angie B,1991-04-27
Good Heart,Starship,1991-04-27
Does Anybody Really Fall In Love Anymore?,Kane Roberts,1991-04-27
We Want The Funk,Gerardo,1991-05-04
Place In This World,Michael W. Smith,1991-05-04
Gypsy Woman (She's Homeless),Crystal Waters,1991-05-04
Life Goes On,Poison,1991-05-04
Can I Call You My Girl,PC Quest,1991-05-04
Rush Rush,Paula Abdul,1991-05-11
"Part Of Me, Part Of You",Glenn Frey,1991-05-11
A Better Love,Londonbeat,1991-05-11
Kisses In The Night,Brandon,1991-05-11
"I'm Dreamin' (From ""New Jack City"")",Christopher Williams,1991-05-11
Over And Over,Timmy T.,1991-05-11
Piece Of My Heart,Tara Kemp,1991-05-11
See The Lights,Simple Minds,1991-05-18
This Time Make It Funky,Tracie Spencer,1991-05-18
Lily Was Here,David A. Stewart Introducing Candy Dulfer,1991-05-18
Temptation,Corina,1991-05-18
Treat 'Em Right,Chubb Rock,1991-05-18
Exclusivity,Damian Dame,1991-05-18
"Nights Like This (From ""The Five Heartbeats"")",After 7,1991-05-25
You Can't Play With My Yo-Yo,Yo-Yo Featuring Ice Cube,1991-05-25
Kissing You,Keith Washington,1991-05-25
Where The Streets Have No Name,Pet Shop Boys,1991-05-25
I'll Be There,The Escape Club,1991-05-25
Ooh La La,David Hallyday,1991-05-25
Someone,The Rembrandts,1991-05-25
The Dream Is Still Alive,Wilson Phillips,1991-06-01
P.A.S.S.I.O.N.,Rhythm Syndicate,1991-06-01
Higher Than Hope,Daryl Braithwaite,1991-06-01
Elevate My Mind,Stereo MC's,1991-06-01
Love Desire,Sandee,1991-06-01
Lift Me Up,Yes,1991-06-01
Wind Of Change,Scorpions,1991-06-01
Dirty Love,Thunder,1991-06-01
It Ain't Over 'til It's Over,Lenny Kravitz,1991-06-08
My Body Says Yes,Titiyo,1991-06-08
Forever Amo'r,D'zyre,1991-06-08
Can't Forget You,Gloria Estefan,1991-06-08
What A Price To Pay,Michael Damian,1991-06-08
Surrender,Trixter,1991-06-08
Every Heartbeat,Amy Grant,1991-06-15
Fading Like A Flower (Every Time You Leave),Roxette,1991-06-15
Love And Understanding,Cher,1991-06-15
Motownphilly,Boyz II Men,1991-06-15
Summertime,D.J. Jazzy Jeff & The Fresh Prince,1991-06-15
Your Love,Keith Sweat,1991-06-15
Love Gets Rough,Troy Newman,1991-06-15
I Can't Wait Another Minute,Hi-Five,1991-06-22
Crazy,Seal,1991-06-22
Move Right Out,Rick Astley,1991-06-22
Only Time Will Tell,Nelson,1991-06-22
Love On A Rooftop,Desmond Child,1991-06-22
3 A.M. Eternal,The KLF,1991-06-22
Break Up To Make Up,Cynthia,1991-06-22
Let The Beat Hit 'Em,Lisa Lisa And Cult Jam,1991-06-22
Can You Stop The Rain,Peabo Bryson,1991-06-22
(Everything I Do) I Do It For You,Bryan Adams,1991-06-29
Love Of A Lifetime,Firehouse,1991-06-29
With You,Tony Terry,1991-06-29
Learning To Fly,Tom Petty And The Heartbreakers,1991-06-29
Now That We Found Love,Heavy D & The Boyz,1991-06-29
Borrowed Love,Bingo Boys,1991-06-29
Blind Faith,Warrant,1991-06-29
Too Many Walls,Cathy Dennis,1991-07-06
The Motown Song,Rod Stewart,1991-07-06
Just Like You,Robbie Nevil,1991-07-06
Pump It (Nice An' Hard),Icy Blu,1991-07-06
Perfect World,Alias,1991-07-06
Monster,Fred Schneider,1991-07-06
Shake It (Like A White Girl),Jesse Jaymes,1991-07-06
Got A Love For You,Jomanda,1991-07-06
"Time, Love And Tenderness",Michael Bolton,1991-07-13
You Could Be Mine,Guns N' Roses,1991-07-13
Unforgettable,Natalie Cole,1991-07-13
Pop Goes The Weasel,3rd Bass,1991-07-13
My Fallen Angel,Coro,1991-07-13
The Sound Of Your Voice,38 Special,1991-07-13
The Promise Of A New Day,Paula Abdul,1991-07-20
Things That Make You Go Hmmmm. . .,C+C Music Factory,1991-07-20
It Hit Me Like A Hammer,Huey Lewis & The News,1991-07-20
Good Vibrations,Marky Mark & The Funky Bunch Featuring Loleatta Holloway,1991-07-20
Something To Talk About,Bonnie Raitt,1991-07-20
Everybody Plays The Fool,Aaron Neville,1991-07-20
Latin Active,Lighter Shade Of Brown Featuring Teardrop & Shiro,1991-07-20
There She Goes,The La's,1991-07-20
"Gotta Have You (From ""Jungle Fever"")",Stevie Wonder,1991-07-20
Wanna Dance,Yasmin,1991-07-20
I Adore Mi Amor,Color Me Badd,1991-07-27
My Name Is Not Susan,Whitney Houston,1991-07-27
Shiny Happy People,R.E.M.,1991-07-27
I Don't Wanna See You,Michael Morales,1991-07-27
Hey Stoopid,Alice Cooper,1991-07-27
The Truth,Tami Show,1991-08-03
Hole Hearted,Extreme,1991-08-03
The One And Only,Chesney Hawkes,1991-08-03
Turn It Up,Oaktown's 3.5.7,1991-08-03
That's The Way Love Goes,Young M.C.,1991-08-03
Get Serious,Cut 'N' Move,1991-08-03
Just Want To Hold You,Jasmine Guy,1991-08-03
Don't Want To Be A Fool,Luther Vandross,1991-08-03
Do Anything,Natural Selection,1991-08-10
Running Back To You,Vanessa Williams,1991-08-10
Love. . .Thy Will Be Done,Martika,1991-08-10
Low Rider (On The Boulevard),Latin Alliance Featuring War,1991-08-10
Chorus,Erasure,1991-08-10
If I Say,Kingofthehill,1991-08-10
Louder Than Love,TKA,1991-08-10
Silver Thunderbird,Marc Cohn,1991-08-10
"Just Ask Me To (From ""Boyz N The Hood"")",Tevin Campbell,1991-08-10
Till Somebody Loves You,Henry Lee Summer,1991-08-10
Romantic,Karyn White,1991-08-17
Gett Off,Prince And The N.P.G.,1991-08-17
Kiss Them For Me,Siouxsie & The Banshees,1991-08-17
I'm Not Your Puppet,Hi-C,1991-08-17
Power Windows,Billy Falcon,1991-08-17
Wishing On The Same Star,Keedy,1991-08-17
This Beat Is Hot,B.G. The Prince Of Rap,1991-08-17
Face The Music,RTZ,1991-08-17
When Love Cries,Donna Summer,1991-08-17
After The Summer's Gone,PC Quest,1991-08-17
Enter Sandman,Metallica,1991-08-24
The Real Love,Bob Seger & The Silver Bullet Band,1991-08-24
Real Real Real,Jesus Jones,1991-08-24
Walk Through Fire,Bad Company,1991-08-24
Tonite,DJ Quik,1991-08-24
Let's Talk About Sex,Salt-N-Pepa,1991-08-24
When The Lights Go Out,Gerardo,1991-08-24
Emotions,Mariah Carey,1991-08-31
Straight To Your Heart,Bad English,1991-08-31
She's Gone (Lady),Steelheart,1991-08-31
"Gonna Catch You (From ""Cool As Ice"")",Lonnie Gordon,1991-08-31
The Devil Came Up To Michigan,K.M.C. KRU,1991-08-31
Everyotherday,Or-N-More (Featuring Father M.C.),1991-08-31
Hey Donna,Rhythm Syndicate,1991-09-07
O.P.P.,Naughty By Nature,1991-09-07
Sometimes (It's A Bitch),Stevie Nicks,1991-09-07
Save Me,Lisa Fischer,1991-09-07
Why Can't You Come Home,Ex-Girlfriend,1991-09-07
Never Stop,The Brand New Heavies Featuring N'Dea Davenport,1991-09-07
I Wonder Why,Curtis Stigers,1991-09-07
Can't Stop This Thing We Started,Bryan Adams,1991-09-14
Ain't No Future In Yo' Fronting,M.C. Breed & D.F.C.,1991-09-14
For You,Michael W. Smith,1991-09-14
My Heart Belongs To You,Russ Irwin,1991-09-14
Heaven In The Back Seat,Eddie Money,1991-09-14
6 Minutes Of Pleasure,LL Cool J,1991-09-14
If You're Serious,Riff,1991-09-14
Keep Warm,Jinny,1991-09-14
Primal Scream,Motley Crue,1991-09-21
Set The Night To Music,Roberta Flack With Maxi Priest,1991-09-21
Don't Cry,Guns N' Roses,1991-09-21
It's So Hard To Say Goodbye To Yesterday,Boyz II Men,1991-09-21
Rush,Big Audio,1991-09-21
All About You,Pretty In Pink,1991-09-21
Good Time,Ziggy Marley And The Melody Makers,1991-09-21
Cream,Prince And The N.P.G.,1991-09-28
That's What Love Is For,Amy Grant,1991-09-28
Lies,EMF,1991-09-28
Something Got Me Started,Simply Red,1991-09-28
Groovy Train,The Farm,1991-09-28
A Day In My Life (Without You),Lisette Melendez,1991-09-28
Ballad Of Youth,Richie Sambora,1991-09-28
Whispers,Corina,1991-09-28
Finally,CeCe Peniston,1991-09-28
Get A Leg Up,John Mellencamp,1991-10-05
Mind Playing Tricks On Me,Geto Boys,1991-10-05
Superman's Song,Crash Test Dummies,1991-10-05
You're The Story Of My Life,Desmond Child,1991-10-05
All I Need Is You,Blue Train,1991-10-05
When A Man Loves A Woman,Michael Bolton,1991-10-12
Street Of Dreams,Nia Peeples,1991-10-12
Top Of The World,Van Halen,1991-10-12
Ring My Bell,D.J. Jazzy Jeff & The Fresh Prince,1991-10-12
Live For Loving You,Gloria Estefan,1991-10-12
Cool As Ice (Everybody Get Loose),Vanilla Ice,1991-10-12
Skat Strut,MC Skat Kat & The Stray Mob,1991-10-12
Blowing Kisses In The Wind,Paula Abdul,1991-10-19
Set Adrift On Memory Bliss,P.M. Dawn,1991-10-19
Can't Truss It,Public Enemy,1991-10-19
Angel Baby,Angelica,1991-10-19
Tender Kisses,Tracie Spencer,1991-10-19
Broken Arrow,Rod Stewart,1991-10-19
Fall At Your Feet,Crowded House,1991-10-19
Save Up All Your Tears,Cher,1991-10-19
Stand By My Woman,Lenny Kravitz,1991-10-19
Try A Little Tenderness,The Commitments,1991-10-26
Forever My Lady,Jodeci,1991-10-26
Housecall,Shabba Ranks (Featuring Maxi Priest),1991-10-26
Spending My Time,Roxette,1991-10-26
Thinking Of You,Grandmaster Slice,1991-10-26
Do You Feel Like I Feel?,Belinda Carlisle,1991-10-26
Conviction Of The Heart,Kenny Loggins,1991-10-26
Too Much,Tara Kemp,1991-10-26
I've Got A Lot To Learn About Love,The Storm,1991-10-26
What Time Is Love?,The KLF,1991-10-26
For Your Mind,Robbie Nevil,1991-10-26
Forever More,Stevie B,1991-10-26
Keep Coming Back,Richard Marx,1991-11-02
No Son Of Mine,Genesis,1991-11-02
Pop That Coochie,The 2 Live Crew,1991-11-02
Shot Of Poison,Lita Ford,1991-11-02
I Wanna Be Your Girl,Icy Blu,1991-11-02
Change,Lisa Stansfield,1991-11-02
True Companion,Marc Cohn,1991-11-02
Monsters And Angels,Voice Of The Beehive,1991-11-02
All 4 Love,Color Me Badd,1991-11-09
Wildside,Marky Mark & The Funky Bunch,1991-11-09
2 Legit 2 Quit,M.C. Hammer,1991-11-09
The Fly,U2,1991-11-09
Send Me An Angel,Scorpions,1991-11-09
Just A Touch Of Love,C+C Music Factory Presents Zelma Davis,1991-11-09
Tell Me What You Want Me To Do,Tevin Campbell,1991-11-09
Double Good Everything,Smokey Robinson,1991-11-09
Can't Let Go,Mariah Carey,1991-11-16
Kiss You Back,Digital Underground,1991-11-16
Too Blind To See It,Kym Sims,1991-11-16
All She Wrote,Firehouse,1991-11-16
Ain't Gonna Hurt Nobody,Kid 'N Play,1991-11-16
In My Dreams,The Party,1991-11-16
Love Me All Up,Stacy Earl,1991-11-16
Into The Great Wide Open,Tom Petty And The Heartbreakers,1991-11-16
Black Or White,Michael Jackson,1991-11-23
Mysterious Ways,U2,1991-11-23
Is It Good To You,Heavy D & The Boyz,1991-11-23
I Can't Make You Love Me,Bonnie Raitt,1991-11-23
I Love Your Smile,Shanice,1991-11-23
Love Crazy,Atlantic Starr,1991-11-23
Just Another Girlfriend,Hi-Five,1991-11-23
Groovin',UB40,1991-11-23
Keep It Comin',Keith Sweat,1991-11-30
Word To The Badd!!,Jermaine Jackson,1991-11-30
No More Tears,Ozzy Osbourne,1991-11-30
The Way I Feel About You,Karyn White,1991-11-30
On A Sunday Afternoon,Lighter Shade Of Brown,1991-11-30
Within My Heart,Voyce,1991-11-30
Then Came You,T.P.E.,1991-11-30
I Want You,Jody Watley,1991-11-30
Smells Like Teen Spirit,Nirvana,1991-12-07
The Unforgiven,Metallica,1991-12-07
Don't Let The Sun Go Down On Me,George Michael/Elton John,1991-12-07
Addams Groove,M.C. Hammer,1991-12-07
The Comfort Zone,Vanessa Williams,1991-12-07
Diamonds And Pearls,Prince And The N.P.G.,1991-12-07
Hearts Don't Think (They Feel),Natural Selection,1991-12-07
In Paradise,Laissez Faire,1991-12-07
All Through The Night,Tone-Loc,1991-12-14
Uhh Ahh,Boyz II Men,1991-12-14
Everybody Move,Cathy Dennis,1991-12-14
Insatiable,Prince And The N.P.G.,1991-12-14
Right Down To It,Damian Dame,1991-12-14
Move Any Mountain,The Shamen,1991-12-14
I'm Too Sexy,Right Said Fred,1991-12-21
To Be With You,Mr. Big,1991-12-21
I'll Get By,Eddie Money,1991-12-21
Every Road Leads Back To You,Bette Midler,1991-12-21
There Will Never Be Another Tonight,Bryan Adams,1991-12-21
Give It Away,Red Hot Chili Peppers,1991-12-21
Live And Let Die,Guns N' Roses,1991-12-21
Stay,Jodeci,1992-01-04
The Rush,Luther Vandross,1992-01-04
Martika's Kitchen,Martika,1992-01-04
Breakin' My Heart (Pretty Brown Eyes),Mint Condition,1992-01-04
Wasted Time,Skid Row,1992-01-04
I'll Take You There,BeBe & CeCe Winans Featuring Mavis Staples,1992-01-04
Hold On (Tighter To Love),Clubland,1992-01-04
She Ain't Pretty,The Northern Pikes,1992-01-04
Be True To Yourself,2nd II None,1992-01-11
A Deeper Love/Pride In The Name Of Love,Clivilles & Cole,1992-01-11
There's No Other Way,Blur,1992-01-11
Vibeology,Paula Abdul,1992-01-18
Good For Me,Amy Grant,1992-01-18
Paper Doll,P.M. Dawn,1992-01-18
Blinded By Love,Rhythm Syndicate,1992-01-18
Oochie Coochie,M.C. Brains,1992-01-18
Beauty And The Beast,Celine Dion And Peabo Bryson,1992-01-18
Butt Naked,Charm,1992-01-18
Until Your Love Comes Back Around,RTZ,1992-01-18
Remember The Time,Michael Jackson,1992-01-25
Missing You Now,Michael Bolton,1992-01-25
Cold Shower,Erin Cruise,1992-01-25
Stars,Simply Red,1992-01-25
What Goes Around Comes Around,Giggles,1992-01-25
Everlasting Love,Tony Terry,1992-01-25
Masterpiece,Atlantic Starr,1992-02-01
You Showed Me,Salt-N-Pepa,1992-02-01
Justified And Ancient,The KLF Featuring Tammy Wynette,1992-02-01
What Becomes Of The Brokenhearted,Paul Young,1992-02-01
Thinkin' Back,Color Me Badd,1992-02-01
I Can't Dance,Genesis,1992-02-01
Again Tonight,John Mellencamp,1992-02-01
We Got A Love Thang,CeCe Peniston,1992-02-01
You Are The One,Chris Cuevas,1992-02-01
Save The Best For Last,Vanessa Williams,1992-02-01
Too Much Passion,The Smithereens,1992-02-08
Tears In Heaven,Eric Clapton,1992-02-08
Boom! I Got Your Boyfriend,MC Luscious,1992-02-08
Everything's Gonna Be Alright,Naughty By Nature,1992-02-08
Can't Cry Hard Enough,The Williams Brothers,1992-02-08
Right Now,Van Halen,1992-02-08
Hazard,Richard Marx,1992-02-15
I Need Money,Marky Mark & The Funky Bunch,1992-02-15
Baby Hold On To Me,Gerald Levert (Duet With Eddie Levert),1992-02-15
"Mama, I'm Coming Home",Ozzy Osbourne,1992-02-15
How I Could Just Kill A Man/The Phuncky Feel One,Cypress Hill,1992-02-15
The Globe,Big Audio,1992-02-15
If You Go Away,NKOTB,1992-02-22
Everything Changes,Kathy Troccoli,1992-02-22
Make It Happen,Mariah Carey,1992-02-22
Romeo & Juliet,Stacy Earl (Featuring The Wild Pair),1992-02-22
Kissing The Wind,Nia Peeples,1992-02-22
Ain't 2 Proud 2 Beg,TLC,1992-02-22
Juice (Know The Ledge),Eric B. & Rakim,1992-02-22
Church Of Your Heart,Roxette,1992-02-29
Caribbean Blue,Enya,1992-02-29
Nu Nu,Lidell Townsell,1992-02-29
The Choice Is Yours,Black Sheep,1992-02-29
You Think You Know Her,Cause And Effect,1992-02-29
Don't Lose The Magic,Shawn Christopher,1992-02-29
I'm The One You Need,Jody Watley,1992-03-07
All Woman,Lisa Stansfield,1992-03-07
Poor Georgie,MC Lyte,1992-03-07
Do You Want It Right Now,Degrees Of Motion,1992-03-07
Peace Of Mind (Love Goes On),One 2 One,1992-03-07
Only Love Can Break Your Heart,St. Etienne,1992-03-07
You're All That Matters To Me,Curtis Stigers,1992-03-07
Live And Learn,Joe Public,1992-03-14
Do Not Pass Me By,M.C. Hammer,1992-03-14
Take Time,Chris Walker,1992-03-14
Thought I'd Died And Gone To Heaven,Bryan Adams,1992-03-14
One,U2,1992-03-14
Don't Be Afraid,Aaron Hall,1992-03-14
She's Got That Vibe,R. Kelly & Public Announcement,1992-03-14
It's Over Now,L.A. Guns,1992-03-14
Human Touch/Better Days,Bruce Springsteen,1992-03-21
Come As You Are,Nirvana,1992-03-21
My Lovin' (You're Never Gonna Get It),En Vogue,1992-03-21
I Wanna Rock,Luke,1992-03-21
IOU,Arthur Baker Featuring Nikeeta,1992-03-21
Doo Doo Brown,2 Hyped Brothers & A Dog,1992-03-21
It's Not A Love Thing,Geoffrey Williams,1992-03-21
We Will Rock You,Warrant,1992-03-21
Nothing Else Matters,Metallica,1992-03-28
Love Me,Tracie Spencer,1992-03-28
This Is The Last Time,Laura Enea,1992-03-28
Money Don't Matter 2 Night,Prince And The N.P.G.,1992-03-28
3-2-1 Pump,Redhead Kingpin & The F.B.I.,1992-03-28
Killer,Seal,1992-03-28
Jump,Kris Kross,1992-04-04
Everything About You,Ugly Kid Joe,1992-04-04
High,The Cure,1992-04-04
Will You Marry Me?,Paula Abdul,1992-04-04
Under The Bridge,Red Hot Chili Peppers,1992-04-04
Please Don't Go,Boyz II Men,1992-04-04
Maria,TKA,1992-04-04
Come & Talk To Me,Jodeci,1992-04-04
If You Want It,2nd II None,1992-04-04
Let's Get Rocked,Def Leppard,1992-04-11
Baby Got Back,Sir Mix-A-Lot,1992-04-11
Tennessee,Arrested Development,1992-04-11
Just Take My Heart,Mr. Big,1992-04-11
Goodbye,Tevin Campbell,1992-04-11
Lift Me Up,Howard Jones,1992-04-11
James Brown Is Dead,L.A. Style,1992-04-11
Why Me Baby?,Keith Sweat,1992-04-11
Damn I Wish I Was Your Lover,Sophie B. Hawkins,1992-04-18
Not The Only One,Bonnie Raitt,1992-04-18
Don't Talk Just Kiss,Right Said Fred,1992-04-18
Helluva,Brotherhood Creed,1992-04-18
What You Give,Tesla,1992-04-18
No Sunshine,Kid Frost,1992-04-18
Just Another Day,Jon Secada,1992-04-18
In The Closet,Michael Jackson,1992-04-25
If You Asked Me To,Celine Dion,1992-04-25
Silent Prayer,Shanice,1992-04-25
I Will Remember You,Amy Grant,1992-04-25
Love You All My Lifetime,Chaka Khan,1992-04-25
Your Song,Rod Stewart,1992-04-25
Smells Like Nirvana,"""Weird Al"" Yankovic",1992-04-25
The Life Of Riley,Lightning Seeds,1992-04-25
Hold On My Heart,Genesis,1992-05-02
White Men Can't Jump,Riff,1992-05-02
Anything At All,Mitch Malloy,1992-05-02
Do It To Me,Lionel Richie,1992-05-02
Innocent Child,Colourhaus,1992-05-02
Achy Breaky Heart,Billy Ray Cyrus,1992-05-09
T.L.C.,Linear,1992-05-09
They Want EFX,Das EFX,1992-05-09
Take My Advice,Kym Sims,1992-05-09
You Won't See Me Cry,Wilson Phillips,1992-05-09
Sometimes I Rhyme Slow,Nice & Smooth,1992-05-09
Never Satisfied,Good 2 Go,1992-05-09
Slow Motion,Color Me Badd,1992-05-09
Life Is A Highway,Tom Cochrane,1992-05-16
Closer To Me,The Outfield,1992-05-16
Fall In Love Again,Eddie Money,1992-05-16
Losing You,Mocca Soul,1992-05-16
Why,Annie Lennox,1992-05-16
This Is The Way We Roll,M.C. Hammer,1992-05-23
Just For Tonight,Vanessa Williams,1992-05-23
Set Me Free,Clubland Featuring Zemya Hamilton,1992-05-23
Keep On Walkin',CeCe Peniston,1992-05-23
Honey Love,R. Kelly & Public Announcement,1992-05-23
Victim Of The Ghetto,The College Boyz,1992-05-23
I'll Be There,Mariah Carey,1992-05-30
The Best Things In Life Are Free,Luther Vandross And Janet Jackson With BBD And Ralph Tresvant,1992-05-30
Wishing On A Star,The Cover Girls,1992-05-30
